Subject,Start date,All Day Event,Description
Paramjit Khurana was born.,08/15/1956,true,https://en.wikipedia.org/wiki/Paramjit_Khurana
Emīlija Gudriniece was born.,08/03/1920,true,https://en.wikipedia.org/wiki/Em%C4%ABlija_Gudriniece
Emīlija Gudriniece died.,10/04/2004,true,https://en.wikipedia.org/wiki/Em%C4%ABlija_Gudriniece
María José García Borge was born.,11/09/1956,true,https://en.wikipedia.org/wiki/Mar%C3%ADa_Jos%C3%A9_Garc%C3%ADa_Borge
Carmen Vela was born.,03/25/1955,true,https://en.wikipedia.org/wiki/Carmen_Vela
Helena Hamerow was born.,09/18/1961,true,https://en.wikipedia.org/wiki/Helena_Hamerow
Alice Alldredge was born.,02/01/1949,true,https://en.wikipedia.org/wiki/Alice_Alldredge
Pamela Gay was born.,12/12/1973,true,https://en.wikipedia.org/wiki/Pamela_Gay
Ann Kiessling was born.,03/29/1942,true,https://en.wikipedia.org/wiki/Ann_Kiessling
Una Ryan was born.,12/18/1941,true,https://en.wikipedia.org/wiki/Una_Ryan
